show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0033,TV Show,Infinite Legacy 33,Mia Jones,"Riley Martin, Olivia Taylor, Liam Lee, Sofia Khan, Priya Kim",Turkey,25-09-2020,2005,TV-G,8 Seasons,Reality TV,"A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0034,TV Show,Midnight City 34,Sofia Thomas,"Sofia Davis, Maya Taylor, Drew Taylor","Brazil, Japan",17-12-2018,2025,TV-G,4 Seasons,Horror,"A horror story about unexpected choices, relationships, and a journey that changes everything."
s0035,TV Show,Crimson Road 35,Casey Garcia,"Daniel Smith, Taylor Anderson, Casey Patel, Mia Wilson, Cameron Lewis",Germany,12-12-2021,2025,TV-Y,8 Seasons,Adventure,"A adventure story about unexpected choices, relationships, and a journey that changes everything."
s0036,TV Show,Fallen Shadow 36,Casey Williams,"Drew Williams, Aisha Lee, Mia Miller",Brazil,16-02-2019,2020,TV-14,4 Seasons,"Sports, Fantasy","A sports story about unexpected choices, relationships, and a journey that changes everything."
s0037,TV Show,Secret Truth 37,Riley Anderson,"Mia Lee, Avery Taylor",United States,25-02-2019,2025,TV-14,1 Season,"Romance, Stand-Up Comedy","A romance story about unexpected choices, relationships, and a journey that changes everything."
s0038,TV Show,Crimson Stories 38,Daniel Thomas,"Jordan Taylor, Sofia Williams, Taylor Patel",Mexico,15-12-2018,1993,TV-PG,4 Seasons,Fantasy,"A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0039,Movie,Wild Storm 39,Liam Singh,"Ethan Patel, Daniel Khan, Cameron Kim","Japan, Mexico, Turkey",29-05-2025,1993,PG,85 min,"Horror, Sports, Romance","A horror story about unexpected choices, relationships, and a journey that changes everything."
s0040,Movie,Secret Promise 40,Noah Brown,"Alex Sharma, Daniel Singh, Sofia Anderson",Japan,19-12-2020,2008,TV-MA,175 min,Sci-Fi,"A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0041,Movie,Forgotten Kingdom 41,Noah Wilson,"Jamie Jones, Taylor Johnson, Riley Anderson",Turkey,21-09-2025,2026,NC-17,113 min,Reality TV,"A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0042,TV Show,Rising Files 42,Noah Garcia,"Taylor Singh, Jordan Sharma, Aisha Thomas, Liam Taylor, Alex Brown",Australia,25-06-2026,2026,TV-Y,3 Seasons,"Crime, Comedy, Family","A crime story about unexpected choices, relationships, and a journey that changes everything."
s0043,TV Show,Northern Legacy 43,Jamie Miller,"Olivia Garcia, Taylor Garcia, Maya Sharma, Drew Thomas, Lucas Williams","South Korea, France",06-02-2023,2021,TV-14,2 Seasons,"Family, Comedy","A family story about unexpected choices, relationships, and a journey that changes everything."
s0044,TV Show,Rising World 44,Morgan Patel,"Lucas Lee, Daniel Sharma",Spain,13-04-2020,2013,TV-Y,5 Seasons,"Reality TV, Comedy","A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0045,Movie,Fallen Legacy 45,Mia Garcia,"Alex Clark, Liam Wilson","Japan, Spain",06-03-2023,1990,TV-14,90 min,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0046,Movie,Crimson Hearts 46,Ethan Taylor,"Sofia Garcia, Casey Khan, Noah Jones, Arjun Davis, Liam Martin","United Kingdom, Turkey",11-09-2023,1994,NC-17,109 min,"Mystery, Adventure","A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0047,Movie,Fallen Hearts 47,Emma Kim,"Avery Khan, Noah Garcia, Maya Thomas, Noah Lee, Arjun Khan","Turkey, Canada",28-06-2018,2005,TV-14,115 min,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0048,TV Show,Burning Game 48,Lucas Clark,"Sofia Johnson, Avery Martin, Emma Thomas","Turkey, Nigeria",04-03-2018,2018,TV-G,3 Seasons,Reality TV,"A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0049,TV Show,Golden Journey 49,Sofia Taylor,"Liam Patel, Olivia Brown, Drew Lewis, Noah Patel","Australia, Brazil, Italy",19-08-2020,2021,TV-Y,5 Seasons,Action,"A action story about unexpected choices, relationships, and a journey that changes everything."
s0050,Movie,Last Storm 50,Morgan Clark,"Daniel Miller, Mia Anderson","United States, South Korea",20-08-2019,1993,NC-17,106 min,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0051,TV Show,Final Promise 51,Riley Miller,"Liam Patel, Liam Lewis",Nigeria,26-02-2023,1999,TV-PG,5 Seasons,Crime,"A crime story about unexpected choices, relationships, and a journey that changes everything."
s0052,Movie,Electric Hearts 52,Lucas Lee,"Taylor Khan, Maya Kim, Cameron Clark","Brazil, Japan, Germany",12-04-2022,2009,R,148 min,"Stand-Up Comedy, Thriller, Sports","A stand-up comedy story about unexpected choices, relationships, and a journey that changes everything."
s0053,TV Show,Final Hearts 53,Mia Anderson,"Lucas Patel, Jamie Smith",Australia,22-10-2024,1993,TV-Y,6 Seasons,"Fantasy, Sci-Fi","A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0054,Movie,Lost Project 54,Jamie Lewis,"Olivia Williams, Olivia Clark, Jordan Anderson","United States, Mexico",31-08-2021,2013,PG-13,170 min,Fantasy,"A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0055,TV Show,Dark Signal 55,Avery Lee,"Ethan Martin, Jamie Miller, Jamie Garcia, Cameron Thomas","Germany, India",05-01-2019,1999,TV-PG,7 Seasons,"Family, Animation","A family story about unexpected choices, relationships, and a journey that changes everything."
s0056,Movie,Rising Road 56,Morgan Khan,"Lucas Lewis, Jamie Kim, Arjun Clark, Maya Williams",Germany,17-03-2023,1991,TV-PG,164 min,"Sci-Fi, Action, Adventure","A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0057,TV Show,Forgotten Kingdom 57,Avery Johnson,"Cameron Garcia, Morgan Williams",Spain,02-08-2024,1998,TV-MA,3 Seasons,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0058,TV Show,Silent Stories 58,Liam Sharma,"Jordan Jackson, Sam Khan, Daniel Wilson, Maya Williams","South Korea, Spain, Australia",16-05-2019,2012,TV-G,8 Seasons,Horror,"A horror story about unexpected choices, relationships, and a journey that changes everything."
s0059,Movie,Lost Project 59,Alex Johnson,"Casey Jones, Emma Davis, Taylor Lee, Sam Kim",Turkey,16-08-2019,2004,TV-PG,91 min,"Drama, Crime","A drama story about unexpected choices, relationships, and a journey that changes everything."
s0060,TV Show,Dark Kingdom 60,Lucas Smith,"Alex Jackson, Casey Kim, Drew Smith",United States,13-05-2026,1998,TV-Y7,2 Seasons,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0061,TV Show,Electric Truth 61,Ethan Kim,"Daniel Martin, Casey Singh",Italy,07-09-2018,2023,TV-14,8 Seasons,Drama,"A drama story about unexpected choices, relationships, and a journey that changes everything."
s0062,TV Show,Forgotten Kingdom 62,Sofia Khan,"Taylor Thomas, Liam Jones",Japan,22-04-2021,2025,TV-Y7,8 Seasons,Sports,"A sports story about unexpected choices, relationships, and a journey that changes everything."
s0063,TV Show,Silent Kingdom 63,Olivia Clark,"Priya Khan, Casey Sharma, Drew Khan",Brazil,14-03-2022,1996,TV-14,3 Seasons,Crime,"A crime story about unexpected choices, relationships, and a journey that changes everything."
s0064,TV Show,Last Journey 64,Taylor Brown,"Morgan Jackson, Avery Lee, Jordan Kim, Noah Lee, Drew Lewis",South Korea,25-09-2024,2017,TV-Y7,5 Seasons,Fantasy,"A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0065,TV Show,Silent Mountain 65,Ethan Davis,"Lucas Garcia, Casey Williams, Maya Lee",Italy,16-04-2024,2007,TV-Y,10 Seasons,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0066,Movie,Parallel Shadow 66,Alex Miller,"Mia Anderson, Drew Jackson, Alex Miller, Avery Kim",India,31-05-2020,1999,G,123 min,Sports,"A sports story about unexpected choices, relationships, and a journey that changes everything."
s0067,TV Show,Electric World 67,Riley Jackson,"Aisha Thomas, Emma Singh, Taylor Johnson, Avery Miller","United States, Australia",13-06-2023,1995,TV-14,10 Seasons,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0068,TV Show,Forgotten Shadow 68,Sam Martin,"Maya Sharma, Morgan Anderson",Mexico,07-06-2022,2021,TV-Y,10 Seasons,"Comedy, Sci-Fi","A comedy story about unexpected choices, relationships, and a journey that changes everything."
s0069,Movie,Hidden Signal 69,Cameron Davis,"Jamie Anderson, Drew Williams, Alex Garcia","United Kingdom, Nigeria",23-10-2018,2014,R,125 min,Animation,"A animation story about unexpected choices, relationships, and a journey that changes everything."
s0070,Movie,Forgotten City 70,Daniel Brown,"Emma Sharma, Emma Patel, Mia Clark, Priya Anderson",United States,27-12-2018,2010,PG-13,130 min,"Reality TV, Animation","A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0071,Movie,Secret Storm 71,Emma Patel,"Arjun Anderson, Aisha Thomas",Italy,14-12-2023,2000,PG,140 min,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0072,Movie,Infinite Truth 72,Aisha Clark,"Casey Williams, Avery Taylor, Sam Miller",Italy,28-04-2024,1994,PG-13,172 min,"Stand-Up Comedy, Reality TV, Family","A stand-up comedy story about unexpected choices, relationships, and a journey that changes everything."
s0073,TV Show,Final Project 73,Drew Clark,"Avery Khan, Taylor Garcia, Daniel Clark, Cameron Taylor",South Korea,04-06-2018,2022,TV-G,1 Season,Reality TV,"A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0074,TV Show,Fallen Journey 74,Olivia Brown,"Daniel Kim, Noah Johnson, Daniel Kim, Olivia Davis, Drew Singh",United Kingdom,04-01-2026,1993,TV-MA,2 Seasons,Adventure,"A adventure story about unexpected choices, relationships, and a journey that changes everything."
s0075,Movie,Broken River 75,Mia Khan,"Ethan Martin, Liam Miller, Maya Jackson, Cameron Patel, Priya Thomas",United States,09-03-2021,2011,PG,107 min,Family,"A family story about unexpected choices, relationships, and a journey that changes everything."
s0076,Movie,Midnight Journey 76,Emma Lewis,"Maya Anderson, Olivia Lewis, Arjun Jones",India,07-07-2025,2009,TV-14,164 min,"Adventure, Romance","A adventure story about unexpected choices, relationships, and a journey that changes everything."
s0077,Movie,Forgotten Files 77,Maya Smith,"Cameron Miller, Sam Thomas, Sofia Davis, Casey Jones",Japan,24-09-2019,1996,G,95 min,"Romance, Family","A romance story about unexpected choices, relationships, and a journey that changes everything."
s0078,Movie,Parallel Promise 78,Aisha Khan,"Priya Jackson, Lucas Wilson","Mexico, Japan, Italy",06-04-2023,2018,R,99 min,Fantasy,"A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0079,TV Show,Final Legacy 79,Daniel Anderson,"Ethan Martin, Priya Miller, Sam Singh, Avery Taylor, Jordan Clark",South Korea,13-03-2021,2025,TV-G,2 Seasons,"Sports, Thriller","A sports story about unexpected choices, relationships, and a journey that changes everything."
s0080,Movie,Rising Legacy 80,Ethan Jones,"Taylor Wilson, Daniel Jackson, Alex Sharma, Jordan Patel, Ethan Jackson",India,06-01-2026,2013,R,158 min,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0081,TV Show,Golden Code 81,Jordan Anderson,"Mia Jones, Mia Garcia, Daniel Singh, Alex Brown, Alex Taylor",United Kingdom,26-03-2021,2025,TV-Y7,4 Seasons,"Mystery, Thriller","A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0082,TV Show,Silent Dream 82,Casey Sharma,"Taylor Williams, Sofia Singh, Noah Smith, Olivia Martin, Emma Wilson","Japan, France",07-02-2020,1990,TV-Y,2 Seasons,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0083,TV Show,Last Files 83,Noah Martin,"Arjun Garcia, Jordan Clark",South Korea,13-11-2021,2006,TV-Y7,4 Seasons,Action,"A action story about unexpected choices, relationships, and a journey that changes everything."
s0084,Movie,Final World 84,Avery Johnson,"Noah Thomas, Olivia Miller, Lucas Khan, Mia Garcia",Italy,16-04-2021,1998,PG,100 min,"Reality TV, Comedy","A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0085,Movie,Lost Dream 85,Drew Anderson,"Noah Garcia, Jamie Johnson, Olivia Davis, Cameron Jackson, Jordan Clark",India,20-10-2021,2013,TV-14,98 min,"Reality TV, Family","A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0086,TV Show,Crimson Truth 86,Ethan Taylor,"Aisha Sharma, Taylor Sharma",Turkey,24-11-2018,2001,TV-Y,6 Seasons,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0087,TV Show,Fallen Legacy 87,Liam Sharma,"Mia Khan, Maya Khan, Jordan Jackson",France,24-02-2025,2007,TV-Y7,7 Seasons,"Comedy, Action, Adventure","A comedy story about unexpected choices, relationships, and a journey that changes everything."
s0088,TV Show,Northern Promise 88,Alex Jones,"Jordan Jones, Taylor Wilson, Olivia Jackson, Maya Patel, Emma Johnson",Australia,08-06-2024,2018,TV-14,3 Seasons,Action,"A action story about unexpected choices, relationships, and a journey that changes everything."
s0089,TV Show,Burning World 89,Olivia Taylor,"Morgan Smith, Aisha Miller, Sofia Martin",Spain,11-11-2024,1997,TV-14,5 Seasons,"Reality TV, Horror","A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0090,TV Show,Lost Kingdom 90,Avery Brown,"Riley Khan, Taylor Lewis, Drew Lewis, Maya Brown, Noah Lee",Japan,15-09-2023,2000,TV-Y7,4 Seasons,"Documentary, Animation","A documentary story about unexpected choices, relationships, and a journey that changes everything."
s0091,Movie,Lost Code 91,Casey Garcia,"Maya Lee, Emma Jackson",Spain,15-01-2026,1998,PG,167 min,Family,"A family story about unexpected choices, relationships, and a journey that changes everything."
s0092,TV Show,Northern Storm 92,Priya Kim,"Avery Thomas, Olivia Brown",Australia,13-06-2019,2023,TV-14,7 Seasons,Documentary,"A documentary story about unexpected choices, relationships, and a journey that changes everything."
s0093,Movie,Silent Files 93,Avery Anderson,"Riley Thomas, Mia Wilson, Maya Martin","Turkey, India",04-01-2025,2006,R,113 min,"Crime, Romance","A crime story about unexpected choices, relationships, and a journey that changes everything."
s0094,Movie,Northern Promise 94,Emma Kim,"Riley Lewis, Liam Singh, Drew Kim",Turkey,21-04-2025,1991,PG,101 min,Crime,"A crime story about unexpected choices, relationships, and a journey that changes everything."
s0095,TV Show,Parallel City 95,Sofia Clark,"Olivia Anderson, Sofia Wilson, Lucas Patel, Cameron Khan",United States,15-04-2020,2000,TV-MA,6 Seasons,Reality TV,"A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0096,Movie,Midnight World 96,Aisha Jackson,"Avery Jackson, Ethan Lee, Morgan Thomas, Casey Khan, Morgan Taylor",United Kingdom,25-11-2024,1996,G,128 min,Family,"A family story about unexpected choices, relationships, and a journey that changes everything."
s0097,Movie,Dark World 97,Emma Thomas,"Riley Garcia, Ethan Khan, Sofia Anderson",India,27-07-2018,2015,TV-MA,111 min,"Horror, Animation, Drama","A horror story about unexpected choices, relationships, and a journey that changes everything."
s0098,TV Show,Parallel Stories 98,Cameron Lee,"Morgan Sharma, Avery Taylor","Italy, France",24-01-2022,2013,TV-G,9 Seasons,Horror,"A horror story about unexpected choices, relationships, and a journey that changes everything."
s0099,TV Show,Last Game 99,Ethan Khan,"Liam Lewis, Liam Williams, Avery Williams, Arjun Jackson","South Korea, Spain",03-07-2022,2013,TV-PG,9 Seasons,Sports,"A sports story about unexpected choices, relationships, and a journey that changes everything."
s0100,Movie,Broken Dream 100,Avery Thomas,"Ethan Khan, Avery Singh, Ethan Jones, Drew Singh, Drew Miller",Mexico,21-12-2023,2009,TV-PG,137 min,Sports,"A sports story about unexpected choices, relationships, and a journey that changes everything."
s0101,TV Show,Crimson City 101,Maya Thomas,"Priya Kim, Cameron Clark",Germany,18-07-2024,2006,TV-Y7,8 Seasons,"Sci-Fi, Comedy","A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0102,Movie,Northern Project 102,Arjun Jones,"Jordan Kim, Mia Williams, Sam Smith",France,02-04-2026,1999,TV-14,168 min,"Mystery, Stand-Up Comedy","A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0103,Movie,Golden Files 103,Sam Lee,"Lucas Garcia, Ethan Patel, Drew Miller, Daniel Lee",South Korea,16-02-2021,2006,TV-MA,146 min,Sci-Fi,"A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0104,TV Show,Secret Hearts 104,Cameron Davis,"Drew Garcia, Maya Lee, Aisha Taylor, Cameron Williams, Emma Lewis",Nigeria,24-03-2021,2015,TV-14,2 Seasons,"Romance, Fantasy, Drama","A romance story about unexpected choices, relationships, and a journey that changes everything."
s0105,TV Show,Electric Shadow 105,Aisha Garcia,"Sam Lee, Jamie Lee, Mia Taylor",Mexico,13-07-2020,2005,TV-PG,4 Seasons,Sports,"A sports story about unexpected choices, relationships, and a journey that changes everything."
s0106,Movie,Silent Storm 106,Drew Garcia,"Lucas Jones, Alex Lee","United Kingdom, France, Australia",15-03-2021,2020,TV-MA,157 min,"Fantasy, Adventure","A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0107,Movie,Last Mountain 107,Casey Lee,"Riley Sharma, Riley Johnson","France, Italy, Germany",15-05-2024,2001,NC-17,152 min,"Drama, Fantasy","A drama story about unexpected choices, relationships, and a journey that changes everything."
s0108,Movie,Midnight Hearts 108,Daniel Clark,"Avery Martin, Daniel Taylor, Sam Williams, Drew Miller, Aisha Khan",Brazil,20-12-2019,2001,G,153 min,"Fantasy, Horror","A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0109,TV Show,Forgotten Files 109,Drew Brown,"Lucas Williams, Riley Jones, Sofia Thomas, Casey Smith, Jamie Patel",Italy,07-12-2020,2007,TV-14,6 Seasons,Drama,"A drama story about unexpected choices, relationships, and a journey that changes everything."
s0110,Movie,Broken Kingdom 110,Daniel Anderson,"Arjun Lewis, Ethan Anderson, Mia Williams",Japan,13-05-2023,2013,R,94 min,Romance,"A romance story about unexpected choices, relationships, and a journey that changes everything."
s0111,TV Show,Parallel Truth 111,Priya Lee,"Noah Lewis, Sam Wilson, Lucas Singh, Taylor Martin, Daniel Martin","India, Mexico",03-06-2024,1997,TV-G,9 Seasons,"Sports, Horror","A sports story about unexpected choices, relationships, and a journey that changes everything."
s0112,Movie,Dark World 112,Ethan Khan,"Lucas Davis, Mia Kim",Nigeria,04-10-2023,2022,TV-MA,128 min,"Reality TV, Romance","A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0113,TV Show,Final Dream 113,Noah Khan,"Aisha Smith, Arjun Taylor, Alex Davis, Emma Brown",South Korea,21-03-2021,1994,TV-Y,7 Seasons,"Action, Stand-Up Comedy, Drama","A action story about unexpected choices, relationships, and a journey that changes everything."
s0114,Movie,Golden Storm 114,Maya Patel,"Arjun Patel, Taylor Lewis, Lucas Lee, Avery Clark, Maya Williams",Spain,25-06-2026,2015,PG-13,77 min,"Sci-Fi, Drama","A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0115,TV Show,Electric Road 115,Priya Lee,"Casey Wilson, Daniel Jackson, Avery Taylor, Sam Williams, Jordan Lewis",Italy,29-08-2024,1991,TV-PG,1 Season,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0116,TV Show,Parallel Dream 116,Casey Johnson,"Daniel Wilson, Noah Davis, Jordan Jones, Ethan Anderson, Casey Kim",Mexico,28-05-2025,2010,TV-PG,9 Seasons,Romance,"A romance story about unexpected choices, relationships, and a journey that changes everything."
s0117,Movie,Forgotten Hearts 117,Jamie Johnson,"Olivia Lewis, Priya Lee, Sofia Johnson","Australia, Nigeria, France",13-05-2021,2023,TV-PG,123 min,"Mystery, Romance","A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0118,Movie,Wild Stories 118,Casey Wilson,"Mia Jones, Daniel Johnson, Noah Sharma, Priya Lee",France,17-01-2023,2005,NC-17,122 min,Action,"A action story about unexpected choices, relationships, and a journey that changes everything."
